id,route,group,capabilities,permissions,plan_features,mobile_priority,locked_discovery
dashboard,/dashboard,home,,,,1,false
ai,/ai,home,ai-orchestrator,project.read|project.create,ai_generation,2,true
projects,/projects,home,ai-orchestrator,project.read,projects,3,true
definitions,/definitions,build,dynamic-entities,definition.read,dynamic_entities,4,true
forms,/forms,workspace,dynamic-entities,,dynamic_entities,5,false
automations,/automations,build,automation,automation.read,automation,5,true
bpm,/bpm,build,bpm,bpm.read,bpm,6,true
data,/data,operate,dynamic-entities,record.read,dynamic_entities,7,false
work,/work,operate,bpm,bpm.read,bpm,8,false
notifications,/notifications,operate,notification,notification.read,notifications,9,true
reports,/reports,operate,report,report.read,reports,10,true
media,/media,operate,media,media.read,media,11,true
search,/search,operate,search,search.read,search,12,true
bots,/bots,build,bot-adapter,bot.read,bots,13,true
sites,/sites,build,site-builder,site.read,sites,14,true
team-users,/team/users,manage,,tenant.user.read,team,15,false
team-roles,/team/roles,manage,,tenant.role.manage,team,16,false
clients,/clients,manage,,client.read,client_management,17,false
domains,/domains,manage,domain,domain.read,domains,18,true
billing,/billing,manage,,billing.read,billing,19,false
settings,/settings,manage,,settings.read,,20,false
